Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
7a2235db1ab86797886b3e2e4f51ebaf6bb92565,aug,2017,cool,hold,Mooreville,729.6686538,730.2960755,730.2980626,0,FALSE,FALSE,TRUE,MS
7cc2be730bbe938e66cd541effe371e022c894d3,aug,2017,cool,auto,Ocean Springs,667.1294872,666.15,665.1076923,0,FALSE,FALSE,TRUE,MS
7cc2be730bbe938e66cd541effe371e022c894d3,aug,2017,cool,hold,Ocean Springs,659.9533941,654.360689,654.3652482,0,FALSE,FALSE,TRUE,MS
7e94fec7feacae0a160256474e0b2b5b4fc73598,aug,2017,cool,auto,Olive Branch,699.7142857,693.6547619,654.4464286,15,FALSE,FALSE,FALSE,MS
7e94fec7feacae0a160256474e0b2b5b4fc73598,aug,2017,cool,hold,Olive Branch,716.7741935,710,710,15,FALSE,FALSE,FALSE,MS
7f01523b4fd5b505d34bd273febc47ecc70b1dd2,aug,2017,auto,auto,Vicksburg,743.3076923,750.6615385,650.9076923,35,FALSE,FALSE,FALSE,MS
7f01523b4fd5b505d34bd273febc47ecc70b1dd2,aug,2017,auto,hold,Vicksburg,735.0149254,809.0597015,732.0074627,35,FALSE,FALSE,FALSE,MS
7f01523b4fd5b505d34bd273febc47ecc70b1dd2,aug,2017,cool,auto,Vicksburg,742.4097081,743.4809912,666.2545825,35,FALSE,FALSE,FALSE,MS
7f01523b4fd5b505d34bd273febc47ecc70b1dd2,aug,2017,cool,hold,Vicksburg,721.9088729,735.82494,729.4868106,35,FALSE,FALSE,FALSE,MS
82925ec4379706af057d17f10909906d91ede30f,aug,2017,cool,hold,Starkville,715.9534884,685,685,20,FALSE,FALSE,FALSE,MS
83d9dc866298389693c96dd26cbe0bd6e3ad3725,aug,2017,cool,auto,Brandon,723.1403509,721.9473684,721.9473684,15,FALSE,FALSE,FALSE,MS
83d9dc866298389693c96dd26cbe0bd6e3ad3725,aug,2017,cool,hold,Brandon,698.7352941,698.2566845,697.959893,15,FALSE,FALSE,FALSE,MS
8483423dcdbb392cd9f732cfd9da102e8d1c9318,aug,2017,auto,auto,Oxford,741.2622951,745.0163934,655.0819672,20,FALSE,FALSE,FALSE,MS
8483423dcdbb392cd9f732cfd9da102e8d1c9318,aug,2017,auto,hold,Oxford,724.8333333,720,650,20,FALSE,FALSE,FALSE,MS
85e7cef7b91d9d9862afda653659cfa21bb7d6be,aug,2017,cool,hold,Jackson,773.2758621,770,770,100,FALSE,FALSE,FALSE,MS
86b55e3c1974be7808b80d46c59bc42c21d8db9a,aug,2017,cool,auto,Noxapater,726.08,728.42,645.7333333,5,FALSE,FALSE,FALSE,MS
86b55e3c1974be7808b80d46c59bc42c21d8db9a,aug,2017,cool,hold,Noxapater,710.2085427,705.3668342,705.3768844,5,FALSE,FALSE,FALSE,MS
887f52df99a596931ee6801a0272404750c10b38,aug,2017,cool,auto,Flora,757.7324042,764.2348432,770.3804878,85,FALSE,FALSE,TRUE,MS
887f52df99a596931ee6801a0272404750c10b38,aug,2017,cool,hold,Flora,773.4464389,784.9687319,784.9710481,85,FALSE,FALSE,TRUE,MS
8d5497d8eeb1d76fa99ce5d78b2fa338d679d805,aug,2017,cool,auto,Ocean Springs,760.8428571,760,700,10,FALSE,FALSE,TRUE,MS
8d5497d8eeb1d76fa99ce5d78b2fa338d679d805,aug,2017,cool,hold,Ocean Springs,738.0353982,730.3716814,729.3982301,10,FALSE,FALSE,TRUE,MS
93c4895cef34018be595c34c546e3af2a22a7a4b,aug,2017,cool,auto,Brandon,706.3944954,703.2844037,686.6055046,15,FALSE,FALSE,FALSE,MS
93c4895cef34018be595c34c546e3af2a22a7a4b,aug,2017,cool,hold,Brandon,696.6666667,692.7777778,691.6666667,15,FALSE,FALSE,FALSE,MS
97016d43a850621a1662642a8a0de012c1da6336,aug,2017,cool,hold,Corinth,687.6494845,675.7147766,674.8865979,50,FALSE,FALSE,FALSE,MS
9b718599ed03efd98e2b15948c86641a7cd4b249,aug,2017,auto,hold,Madison,766.1397849,769.9731183,700.4193548,0,FALSE,FALSE,FALSE,MS
9f815c696ff614da0a61985221f0519d5db1a4db,aug,2017,auto,auto,Louisville,750.1397059,750,610,37,FALSE,FALSE,FALSE,MS
9f815c696ff614da0a61985221f0519d5db1a4db,aug,2017,auto,hold,Louisville,751.6081946,751.6227059,610,37,FALSE,FALSE,FALSE,MS
