Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
e33f9f93ce853244445f8a18ad1de745868d5126,aug,2017,cool,hold,Hockessin,790,836,694,25,FALSE,FALSE,FALSE,DE
e6d9a7ac4e866fba527f0f4d66f61af72ae00ebf,aug,2017,cool,hold,Hockessin,759.608,760.096,759.608,27,FALSE,FALSE,FALSE,DE
e74d2913ea65e856bd587ec7e59018c162cac2e8,aug,2017,cool,auto,Newark,711.6853933,706.4606742,660,30,FALSE,FALSE,FALSE,DE
f1c31e2900d9c0cadbba9552cffcdeca139f6d71,aug,2017,auto,auto,Claymont ,712.8901515,721.3636364,662.9545455,0,FALSE,FALSE,TRUE,DE
f1c31e2900d9c0cadbba9552cffcdeca139f6d71,aug,2017,auto,hold,Claymont ,721.9737003,719.9495413,650.6972477,0,FALSE,FALSE,TRUE,DE
f912367502ddecab35f132f60dfa4a4f8ee8aa9f,aug,2017,cool,auto,Newark,709.5833333,710,650,60,FALSE,FALSE,FALSE,DE
f93eb6907201bce993eca365e1f674e535452109,aug,2017,cool,auto,Ocean View,744.2772143,742.9655172,739.0196078,15,FALSE,FALSE,TRUE,DE
f93eb6907201bce993eca365e1f674e535452109,aug,2017,cool,hold,Ocean View,747.9285714,741.9642857,741.9642857,15,FALSE,FALSE,TRUE,DE
fabf0081ad77a8c6c9a5845a67b01753bb7cc9f0,aug,2017,auto,auto,Elsmere,783.2760736,795.4907975,665.5828221,75,FALSE,FALSE,FALSE,DE
fabf0081ad77a8c6c9a5845a67b01753bb7cc9f0,aug,2017,auto,hold,Elsmere,773.2232143,777.0892857,670,75,FALSE,FALSE,FALSE,DE
006e9eb663d3497393620279fd86ae3ef8cd61cb,aug,2018,cool,auto,Middletown,748.0063291,750.3544304,750.3544304,10,TRUE,FALSE,FALSE,DE
006e9eb663d3497393620279fd86ae3ef8cd61cb,aug,2018,cool,hold,Middletown,740.2056164,741.0499762,741.0499762,10,TRUE,FALSE,FALSE,DE
05f17d52e1db8e1d1c118b4d867161f3429fce55,aug,2018,cool,auto,New Castle,716.32,718.42,718.42,20,FALSE,FALSE,FALSE,DE
05f17d52e1db8e1d1c118b4d867161f3429fce55,aug,2018,cool,hold,New Castle,723,725,725,20,FALSE,FALSE,FALSE,DE
0763b11c276e25fc64ca052d8bd55899e0e340bc,aug,2018,cool,auto,Wilmington,689.9,682.298,682.298,10,FALSE,FALSE,FALSE,DE
0763b11c276e25fc64ca052d8bd55899e0e340bc,aug,2018,cool,hold,Wilmington,714.2406965,711.0594059,711.0594059,10,FALSE,FALSE,FALSE,DE
0ad826a253a907f5946f8402db4a56a04d9f0e69,aug,2018,cool,auto,Wilmington,739.25,723,660,48,FALSE,FALSE,FALSE,DE
0f4f6f6ec2bd31e06c5897e74c6b06e789bbd188,aug,2018,cool,auto,Newark,767.020202,762.2525253,760.8552189,25,FALSE,FALSE,FALSE,DE
0f4f6f6ec2bd31e06c5897e74c6b06e789bbd188,aug,2018,cool,hold,Newark,764.952381,758.4047619,757.6309524,25,FALSE,FALSE,FALSE,DE
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2018,cool,auto,Wilmington,753.094703,764.361557,652.3900482,57,FALSE,FALSE,FALSE,DE
